"id","lat","lon","name","name:en","name:gv","ref","highway"
"25985910","","","Laurel Avenue","","","","residential"
"25985913","","","Marine Parade","","","","unclassified"
"25985916","","","Derby Square Lane","","","","service"
"25985919","","","Ballanard Road","","","A22","primary"
"25985921","","","Coronation Court","","","","residential"
"25985922","","","Thurot Cottage Road","Thurot Cottage Road","","C6","tertiary"
"25985924","","","Ash Grove","","","","residential"
"25985926","","","Ballacobb","","","","residential"
"25985928","","","Saint Catherines Drive","","","","unclassified"
"25985930","","","Strawberry Fields","Strawberry Fields","Magheryn Soo-Thallooin","","residential"
"25985939","","","Willaston Crescent","","","","residential"
"25985940","","","Ballacriy Park","","","","residential"
"25985942","","","Gardener's Lane","Gardener's Lane","Bayr yn Ghareyder","","unclassified"
"25985943","","","Ballellis","","Ballellis","","residential"
"25985946","","","Balllaquark","","","","residential"
"25985948","","","Cooil Drive","","","","residential"
"25985950","","","Bradda West Road","Bradda West Road","Raad Vradda Heear","","residential"
"25985951","","","Ballacriy Park","","","","residential"
"25985954","","","The Colony","","","","unclassified"
"25985955","","","Paddocks Lane","","","","service"
"25985957","","","Slieau Whallian Park","","","","residential"
"25985958","","","Richmond Court","","","","residential"
"25985959","","","Ormly Road","","","","residential"
"25985960","","","King William's Way","King William's Way","Bayr Ree Illiam","","unclassified"
"25985962","","","Faaie Ny Cabbal","","","","unclassified"
"25985964","","","Woodlands Avenue","","","","unclassified"
"25985965","","","Ballafletcher Farm Road","","","","unclassified"
"25985966","","","The Laurels","","","","residential"
"25985967","","","Reayrt Aalin","","Reayrt Aalin","","residential"
"25985968","","","Ridgeway Street","","","A44","unclassified"
"25985970","","","Glen Road","","","B58","secondary"
"25985971","","","Ballacriy Park","","","","residential"
"25985972","","","Bemahague Road","","","A18","trunk"
"25985973","","","Queen's Pier Road","","","","unclassified"
"25985974","","","Bramble Close","","","","residential"
"25985975","","","Ballanawin","","Ballanawin","","residential"
"25985976","","","Garth Avenue","","","","residential"
"25985978","","","Colooney's Lane","","","","unclassified"
"25985979","","","Old Church Road","","","B35","secondary"
"25985981","","","Coast Road","Coast Road","","A10","primary"
"25985983","","","Berry Woods Grove","","","","residential"
"25985987","","","Gladstone Mews","","","","residential"
"25985988","","","Saint Ninian's Road","","","","unclassified"
"25985989","","","Balllaquark","","","","residential"
"25985990","","","Mooragh Promenade","","","","unclassified"
"25985991","","","Yn Aittin Vooar","","","","residential"
"25985993","","","Cushag Drive","Cushag Drive","Imman Cushag","","residential"
"25985997","","","Chapel Lane","","","","residential"
"25986003","","","Wybourn Grove","","","","residential"
"25986004","","","Highfield Crescent","","","","residential"
"25986007","","","Victoria Terrace","","","","residential"
"25986009","","","Mount Morrison","","","","residential"
"25986010","","","West Baldwin Road","","","B22","secondary"
"25986011","","","The Cooil Road","","","A24","primary"
"25986012","","","Ballastowell Gardens","","","","unclassified"
"25986015","","","Minorca Vale","Minorca Vale","","","residential"
"25986016","","","Derby View","","","","unclassified"
"25986017","","","Broogh Wylln","","","","residential"
"25986021","","","The Sycamores","","","","residential"
"25986023","","","Braddan Road","Braddan Road","Raad Braddan","A23","primary"
"25986024","","","Garth Road","","","B35","secondary"
"25986027","","","Coburn Drive","","","","residential"
"25986028","","","Alexandra Road","Alexandra Road","","A5","trunk"
"25986030","","","Cypress Grove","","","","residential"
"25986031","","","Laurel Avenue","","","","residential"
"25986032","","","Tynwald Close","","","","residential"
"25986033","","","Bowring Road","","","A9","primary"
"25986036","","","Governors Hill","","","","residential"
"25986040","","","Grosvenor Road","","","","unclassified"
"25986042","","","Ash Close","","","","residential"
"25986044","","","Glen Maye Park","Glen Maye Park","Pairk Glion Meay","","unclassified"
"25986045","","","Lhergy Grawe","","Lhergy Grawe","","unclassified"
"25986046","","","Cronk Y Berry","","","","residential"
"25986047","","","Abbots Close","","","","residential"
"25986049","","","Station Road","Station Road","Raad y Stashoon","B18","secondary"
"25986052","","","Hillcroft Rise","","","","residential"
"25986054","","","Lheannag Park","","","","residential"
"25986055","","","Kissacks Lane","","","","unclassified"
"25986056","","","Cronk Y Berry Avenue","","","","residential"
"25986057","","","Wentworth Close","","","","unclassified"
"25986058","","","Inner Circle","","","","residential"
"25986061","","","Thornton Avenue","","","","residential"
"25986062","","","Clannagh Road","","","A14","primary"
"25986063","","","Belgravia Road","","","","unclassified"
"25986065","","","Selborne Road","","","","unclassified"
"25986067","","","Mount View Close","","","","residential"
"25986069","","","Seafield Crescent","","","","residential"
"25986072","","","High View Road","","","","residential"
"25986075","","","Parade Street","Parade Street","Straid Pharaid","A8","primary"
"25986076","","","The Cherry Walk","","","","residential"
"25986077","","","Fistard Road","Fistard Road","Raad Fistard","","unclassified"
"25986079","","","Kerroo Coar","","","","residential"
"25986080","","","Reayrt Aalin","","Reayrt Aalin","","residential"
"25986081","","","Royal Avenue","","","A35","primary"
"25986082","","","Brookfield Avenue","","","","unclassified"
"25986084","","","Cronk Drean","","Cronk Drean","","residential"
"25986085","","","Glen Vine Road","","","","unclassified"
"25986087","","","Barracks Road","","","B46","secondary"
"25986090","","","Cullyn Avenue","","","","residential"
"25986091","","","Pulrose Road","Pulrose Road","Raad Poyll Roish","","unclassified"
"25986093","","","Larivane Close","","","","residential"
"25986094","","","Ard Reayrt","","Ard Reayrt","","residential"
"25986095","","","Clifton Road","Clifton Road","Raad Clifton","","residential"
"25986097","","","Ballabrodie","","","","residential"
"25986098","","","The Windmill","","","","service"
"25986100","","","Kermode Road","","","","unclassified"
"25986101","","","Premier Road","","","","residential"
"25986102","","","Shore Road","","","","primary"
"25986103","","","Drinkwater Street","Drinkwater Street","Straid Drinkwater","","unclassified"
"25986105","","","Hill Top View","","","","residential"
"25986106","","","Governors Hill","Governors Hill","Cronk y Chiannoort","","residential"
"25986108","","","Lewthaites Way","Lewthaites Way","Bayr Lewthwaite","","residential"
"25986109","","","Pairk Beg","","Pairk Beg","","residential"
"25986110","","","Harry Quirk's Lane","","","","footway"
"25986111","","","Reayrt Y Chrink","","Reayrt Y Chrink","","residential"
"25986113","","","Close Kennish","","","","residential"
"25986114","","","Close Fletcher","","","","residential"
"25986115","","","George's Close","","","","residential"
"25986117","","","Falcon Cliff Terrace Lane","","","","unclassified"
"25986118","","","Albany Close","","","","residential"
"25986119","","","Faaie Ny Cabbal","","","","unclassified"
"25986120","","","Alberta Drive","","","","unclassified"
"25986121","","","Briarfield Avenue","","","","residential"
"25986122","","","Magher Breek","","Magher Breek","","footway"
"25986125","","","Surby Mill Road","Surby Mill Road","","D54","unclassified"
"25986126","","","Red Pier","","","","primary"
"25986127","","","Fuscia Close","","","","unclassified"
"25986130","","","The Crofts","","","","unclassified"
"25986132","","","Fairway Close","Fairway Close","","","residential"
"25986133","","","Ballahane Close","","","","residential"
"25986134","","","Hutchinson Villas","","","","unclassified"
"25986136","","","Riverside","","","","residential"
"25986138","","","Grammah Avenue","","","","residential"
"25986139","","","Isle of Man Business Park","","","A6","trunk"
"25986140","","","Ballabrooie Way","","","","unclassified"
"25986141","","","Crellin Grove","Crellin Grove","","","unclassified"
"25986142","","","Majestic Close","","","","unclassified"
"25986144","","","Ballagawne Road","","","B43","secondary"
"25986145","","","Mountain Road","Mountain Road","","A18","trunk"
"25986146","","","Old Castletown Road","Old Castletown Road","Shenn Raad Balley Cashtal","A25","primary"
"25986150","","","Glen Falcon Road","Glen Falcon Road","Bayr Glion Shirragh","B66","secondary"
"25986151","","","Silverburn Crescent","Silverburn Crescent","","","residential"
"25986152","","","Hillberry Heights","","","","residential"
"25986153","","","Alder Road","","","","residential"
"25986154","","","Bowness Crescent","","","","unclassified"
"25986156","","","Bernahara Road","Bernahara Road","Bayr ny Hayrey","B14","secondary"
"25986158","","","Tromode Green","","","","residential"
"25986160","","","Ashbourne Avenue","","","","residential"
"25986161","","","Park Road","","","","residential"
"25986162","","","Fairway Close","","","","unclassified"
"25986164","","","Vicarage Road","Vicarage Road","Raad Thie ny Taggyrt","A6","trunk"
"25986166","","","New Road","","","A28","primary"
"25986167","","","Beech Avenue","","","","residential"
"25986169","","","Falcon Cliff Court","","","","unclassified"
"25986170","","","Patrick Road","","","A30","primary"
"25986171","","","Friary Park","","","","residential"
"25986172","","","Hamilton Close","","","","unclassified"
"25986173","","","Truggan Close","","","","residential"
"25986175","","","Harcroft Meadow","Harcroft Meadow","Lheeannee Harcroft","","residential"
"25986177","","","Douglas Avenue","","","","residential"
"25986181","","","Peveril Avenue","","","","residential"
"25986184","","","Shoprite Chalets","","","","residential"
"25986186","","","Boilley Spittal","","","","residential"
"25986191","","","Baldrine Park","","","","unclassified"
"25986192","","","Strang Close","","","","residential"
"25986193","","","Quines Corner","","","","secondary"
"25986194","","","Cronk Cullyn","","Cronk Cullyn","","residential"
"25986195","","","Hampton Grove","","","","residential"
"25986196","","","Marine View Close","","","","unclassified"
"25986197","","","Cedar Walk","","","","residential"
"25986199","","","Minorca Hill","","","B1","secondary"
"25986200","","","Cedar Grove","","","","residential"
"25986201","","","Ennerdale Avenue","","","","unclassified"
"25986202","","","Coast Road","Coast Road","","A4","trunk"
"25986203","","","Auburn Road","","","","unclassified"
"25986205","","","Close-y-Locker","","","","residential"
"25986206","","","Baldrine Road","","","","unclassified"
"25986207","","","Wybourn View","","","","residential"
"25986208","","","Pinfold Hill","Pinfold Hill","","A2","trunk"
"25986211","","","Stonecrop Grove","","","","residential"
"25986214","","","Eyreton Park","","","","unclassified"
"25986217","","","Orestal","","","","service"
"25986221","","","Barrule Drive","","","","residential"
"25986222","","","Ballaquane Park","","","","residential"
"25986224","","","Brunswick Road","","","","unclassified"
"25986227","","","Fairway Close","","","","unclassified"
"25986228","","","Ballacottier Crescent","","","","unclassified"
"25986229","","","Corlea Road","Corlea Road","Bayr yn Chor Cheean","B39","secondary"
"25986230","","","Albert Terrace","","","","unclassified"
"25986234","","","Rheast Mooar Lane","","","","residential"
"25986235","","","Albert Terrace","","","","unclassified"
"25986236","","","Quakers Road","","","D26","unclassified"
"25986237","","","The Promenade","The Promenade","","B49","secondary"
"25986238","","","Faaie Wyllin","","","","residential"
"25986239","","","Primrose Avenue","","","","unclassified"
"25986240","","","Richmond Grove","","","","unclassified"
"25986241","","","Ballacharry Road","","","B29","secondary"
"25986244","","","Erin Lane","","","","residential"
"25986246","","","Albert Road","","","A2","trunk"
"25986248","","","Laureston Grove","","","","unclassified"
"25986251","","","Broadway","Broadway","","A22","primary"
"25986253","","","Farmhill Meadows","","","","residential"
"25986254","","","Ballajora Hill","","","","residential"
"25986255","","","Costain Close","","","","residential"
"25986258","","","Stoney Road","","","B76","secondary"
"25986259","","","Saint Luke's to Brandywell Road","Saint Luke's to Brandywell Road","","","residential"
"25986263","","","Reayrt Ny Sleityn","","Reayrt Ny Sleityn","","residential"
"25986264","","","Station Park","","","","residential"
"25986265","","","Derby Road","","","B63","secondary"
"25986267","","","Birch Hill Crescent","","","","residential"
"25986268","","","Cross Street","","","","residential"
"25986270","","","Snaefell Road","","","","unclassified"
"25986273","","","Cronk Road","Cronk Road","","A10","primary"
"25986274","","","Ballastrooan","","","","residential"
"25986275","","","Auckland Grove Lane","","","","service"
"25986276","","","Albany Street","","","","unclassified"
"25986277","","","Thornhill Park","","","","residential"
"25986278","","","Furman Close","","","","unclassified"
"25986279","","","Maine Road","Maine Road","Raad Maine","","residential"
"25986280","","","Middle River Industrial Estate","","","","unclassified"
"25986286","","","Marion Court","","","","service"
"25986287","","","Old School Hill","Old School Hill","Cronk Y Shenn Scoill","","unclassified"
"25986288","","","Africa Court","Africa Court","Couuyrt Yn Affri","","unclassified"
"25986293","","","Heywood Park","","","","residential"
"25986294","","","Hailwood Court","","","","service"
"25986295","","","Greenlands Avenue","","","","residential"
"25986296","","","Birch Hill Avenue","","","","residential"
"25986298","","","Walpole Road","","","","unclassified"
"25986299","","","Foxglove Close","","","","residential"
"25986300","","","Laurys Avenue","","","","unclassified"
"25986302","","","Tromode Close","","","","residential"
"25986304","","","Ellenbrook Drive","","","","unclassified"
"25986306","","","Christian Close","","","","unclassified"
"25986309","","","Ballamanaugh Close","","","","residential"
"25986311","","","Magherbreekyn","","","","residential"
"25986316","","","Birch Hill Grove","","","","residential"
"25986317","","","Shore Road","","","","residential"
"25986320","","","Senna Road","","","","service"
"25986322","","","Main Drive","","","","unclassified"
"25986323","","","Campion Way","","","","residential"
"25986325","","","Milner Park","","","","residential"
"25986326","","","Tynwald Close","","","","residential"
"25986329","","","Belgravia","","","","residential"
"25986330","","","Ballaughton Close","","","","residential"
"25986331","","","Hill Top Rise","","","","residential"
"25986332","","","Stanley Mews","","","","residential"
"25986333","","","Bradda View","","","","residential"
"25986334","","","Sycamore Close","","","","residential"
"25986335","","","Brookfield Avenue","","","","unclassified"
"25986336","","","Corrin Court","","","","service"
"25986340","","","Fuchsia Court","","","","residential"
"25986342","","","Sycamore Grove","","","","residential"
"25986343","","","Battery Road","","","","residential"
"25986344","","","Greenlands Avenue","","","","residential"
"25986345","","","Ballamaddrell","","","","residential"
"25986347","","","Archallagan Terrace","","","","unclassified"
"25986351","","","Kelvin Road","","","","unclassified"
"25986352","","","Merlin's Court","","","","footway"
"25986353","","","Mull View","","","","residential"
"25986354","","","Westlands Close","","","","residential"
"25986356","","","Balllaquark","","","","residential"
"25986359","","","Isle of Man Business Park","","","","unclassified"
"25986360","","","Third Avenue","","","","residential"
"25986362","","","Queen Margaret Way","","","","unclassified"
"25986363","","","Windsor Road","","","","residential"
"25986364","","","Ballanorris Crescent","","","","residential"
"25986366","","","Peel Street","Peel Street","Straid Phurt ny h-Inshey","","unclassified"
"25986367","","","Mountain Road","Mountain Road","","A18","trunk"
"25986369","","","Ballalough","","","","residential"
"25986370","","","Isle of Man Business Park","","","A6","trunk"
"25986372","","","Ballacloan Road","","","","residential"
"25986374","","","Willowbrook Gardens","","","","residential"
"25986376","","","Victoria Terrace","","","","unclassified"
"25986377","","","Seafield Close","","","","residential"
"25986378","","","Saint Marys Glebe","","","","residential"
"25986380","","","Linden Avenue","Linden Avenue","Astyl Biljyn Theiley","","residential"
"25986382","","","Cooilushtey","","","","unclassified"
"25986384","","","Ballaberna Road","Ballaberna Road","","D24","unclassified"
"25986386","","","Ashbourne Grove","","","","residential"
"25986387","","","Ocean Castle Drive","","","","residential"
"25986388","","","Westview Lane","","","","service"
"25986389","","","Cooper's Close","","","","unclassified"
"25986390","","","Church View","","","","unclassified"
"25986391","","","Snaefell Road","","","","residential"
"25986393","","","Demesne Road","Demesne Road","Raad Chiarnys","","residential"
"25986394","","","Ballavitchel Road","","","","unclassified"
"25986397","","","Wallberry Mews","","","","service"
"25986398","","","First Avenue","","","","residential"
"25986399","","","Cronk-Y-Berry Mews","","","","residential"
"25986400","","","Balllaquark","","","","residential"
"25986401","","","Tynwald Close","","","","residential"
"25986402","","","Mount Gawne Road","","","B45","secondary"
"25986403","","","Wallberry Mews","","","","residential"
"25986404","","","William Proctor Lane","William Proctor Lane","Lhoan William Proctor","","footway"
"25986406","","","Birch Hill Crescent","","","","residential"
"25986407","","","Cronk Grianagh","","Cronk Grianagh","","residential"
"25986409","","","Victoria Square","Victoria Square","Kerrin Victoria","","residential"
"25986411","","","Fistard Grove","Fistard Grove","Keyll Fistard","","residential"
"25986412","","","Fenella Avenue","","","","residential"
"25986414","","","Vicarage Drive","Vicarage Drive","Imman Thie yn Taggart","","unclassified"
"25986416","","","Marlborough Way","","","","residential"
"25986417","","","Cannan Court","","","","unclassified"
"25986418","","","Gretch Noa","","","","residential"
"25986419","","","Braddan Road","Braddan Road","Raad Braddan","A23","primary"
"25986421","","","Peveril Street","","","","unclassified"
"25986425","","","Bradda Road","Bradda Road","Raad Vradda","A32","primary"
"25986426","","","Springfield Avenue","","","","residential"
"25986431","","","Fuchsia Grove","Fuchsia Grove","","","residential"
"25986433","","","Derby Square","","","","unclassified"
"25986435","","","Thirlmere Avenue","","","","unclassified"
"25986438","","","Strang Road","Strang Road","","A22","primary"
"25986439","","","Willaston Crescent","","","","residential"
"25986443","","","Christian Street","","","","unclassified"
"25986445","","","Derby Road","","","A20","primary"
"25986446","","","Ballacollister Road","","","","unclassified"
"25986449","","","Thornhill Park","","","","residential"
"25986450","","","Creggan Lea","","Creggan Lea","","residential"
"25986451","","","Nursery Avenue","","","","residential"
"25986454","","","Birch Hill Close","","","","residential"
"25986455","","","Athol Park","Athol Park","Pairk Athol","","residential"
"25986456","","","Greeba Drive","","","","unclassified"
"25986461","","","Castle Mona Avenue","","","","unclassified"
"25986464","","","Elm Drive","","","","residential"
"25986468","","","Rheast Lane","","","","residential"
"25986470","","","Laurel Avenue","","","","residential"
"25986471","","","Close Toalt","","Close Toalt","","residential"
"25986472","","","Lonan Church Road","","","B12","secondary"
"25986473","","","Mount Havelock","","","","unclassified"
"25986475","","","Friary Park","","","","residential"
"25986476","","","Sunnydale Avenue","","","","residential"
"25986477","","","Romney Wynd","","","","residential"
"25986481","","","Hillberry View","","","","residential"
"25986483","","","Station Place","Station Place","Ynnyd y Stashoon","","unclassified"
"25986484","","","Elm Avenue","","","","residential"
"25986487","","","Harbour Road","","","","unclassified"
"25986488","","","Peel Road","","","A1","trunk"
"25986491","","","Alkest Way","","","","residential"
"25986494","","","Selborne Drive","","","","unclassified"
"25986495","","","Spring Valley Road","","","","residential"
"25986497","","","The Laurels","","","","residential"
